zone_id,map_age,fill_rgba,polygon_json,sort_order
steppe-belt,1260,"rgba(224, 189, 160, 0.40)","[[40,55],[56,55],[71,56],[86,56],[101,56],[116,55],[130,54],[140,52],[141,46],[140,40],[136,35],[126,33],[113,33],[99,34],[86,35],[72,36],[58,37],[47,35],[41,31]]",1
y12782-belt,800,"rgba(248, 239, 186, 0.42)","[[88,53],[96,56],[107,57],[119,56],[130,52],[136,48],[137,42],[133,38],[123,35],[111,34],[99,35],[91,38],[88,44]]",2
f18202-belt,900,"rgba(247, 193, 231, 0.34)","[[104,51],[111,53],[119,53],[126,51],[128,47],[126,43],[119,41],[111,41],[105,43],[103,47]]",3
